r,r1,r2,r3,r4,r5,r6,r7,r8,n1,n2,n3,n4,n5,n6,n7,n8
9.321042084168337,0.685370741482966,0.8224448897795591,0.9595190380761522,1.0965931863727454,1.2336673346693388,1.370741482965932,1.5078156312625248,1.6448897795591182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.097795591182365,0.7424849699398797,0.8909819639278557,1.0394789579158317,1.1879759519038076,1.3364729458917837,1.4849699398797593,1.6334669338677354,1.7819639278557113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.874549098196391,0.7995991983967935,0.9595190380761522,1.1194388777555109,1.2793587174348697,1.4392785571142281,1.599198396793587,1.7591182364729456,1.9190380761523045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.65130260521042,0.8567134268537073,1.0280561122244487,1.1993987975951903,1.370741482965932,1.542084168336673,1.7134268537074147,1.8847695390781563,2.0561122244488974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.428056112224448,0.9138276553106212,1.0965931863727454,1.2793587174348697,1.462124248496994,1.644889779559118,1.8276553106212423,2.0104208416833664,2.1931863727454908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.204809619238477,0.970941883767535,1.165130260521042,1.3593186372745492,1.553507014028056,1.747695390781563,1.94188376753507,2.136072144288577,2.330260521042084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.981563126252505,1.028056112224449,1.2336673346693388,1.4392785571142286,1.6448897795591182,1.850501002004008,2.056112224448898,2.2617234468937877,2.4673346693386775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.758316633266531,1.0851703406813626,1.3022044088176352,1.5192384769539076,1.7362725450901801,1.9533066132264527,2.1703406813627253,2.387374749498998,2.6044088176352704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.53507014028056,1.1422845691382764,1.370741482965932,1.599198396793587,1.8276553106212423,2.0561122244488974,2.2845691382765527,2.5130260521042085,2.741482965931864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.311823647294588,1.1993987975951903,1.4392785571142286,1.6791583166332664,1.9190380761523045,2.1589178356713425,2.3987975951903806,2.6386773547094187,2.878557114228457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.088577154308616,1.2565130260521042,1.5078156312625248,1.7591182364729459,2.0104208416833664,2.2617234468937872,2.5130260521042085,2.7643286573146293,3.0156312625250496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.865330661322645,1.313627254509018,1.5763527054108215,1.8390781563126253,2.101803607214429,2.3645290581162324,2.627254509018036,2.88997995991984,3.152705410821643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
